GMLId;ParentGMLId;X-coordinate;Y-coordinate;LOD;Year of construction;Refurbishment Variant;Class;ALKIS code;PrimaryUsageZoneType;PrimaryUsageZoneArea;SecondaryUsageZoneType;SecondaryUsageZoneArea;BuildingType;Footprint area [m2];Total wall thermal area above ground [m2];Total wall thermal area below ground [m2];Total outwall area [m2];Total sharedwall area [m2];Total roof area [m2];Gross volume [m3];Is Gross volume approximated?;Heated volume [m3];Ridge/mean Height [m];Eaves/mean Height [m];Storey number;Average Storey Height;Attic Heating;Basement Heating;Basement ceiling height above ground;SA2V ratio [m-1];Heated area [m2];Mean Uvalue [W/m2.K];Specific domestic hot water demand [kWh/m2.yr];Specific space heating demand [kWh/m2.yr];Total Yearly Heat+DHW demand [kWh/yr];January Heating Demand [kWh];February Heating Demand [kWh];March Heating Demand [kWh];April Heating Demand [kWh];May Heating Demand [kWh];June Heating Demand [kWh];July Heating Demand [kWh];August Heating Demand [kWh];September Heating Demand [kWh];October Heating Demand [kWh];November Heating Demand [kWh];December Heating Demand [kWh];Specific space Cooling demand [kWh/m2.yr];Yearly Cooling demand [kWh/yr];January Cooling Demand [kWh];February Cooling Demand [kWh];March Cooling Demand [kWh];April Cooling Demand [kWh];May Cooling Demand [kWh];June Cooling Demand [kWh];July Cooling Demand [kWh];August Cooling Demand [kWh];September Cooling Demand [kWh];October Cooling Demand [kWh];November Cooling Demand [kWh];December Cooling Demand [kWh]
gml_YT691905DLE7O02KSW377WSEDRE4DWM5T53H;;299796,81;56446,96;LOD2;1939;Original;undefined;A0;residential;6419,4;none;0,0;GMH;1188,9;5694,8;0,0;5864,7;0,0;1208,7;20667,2;false;20060,6;20,8;17,26;7;2,9;HEATED;NOT_HEATED;0,5;0,40;6419,4;1,53;15,8;90,5;682396;154045;123203;81058;15864;51;0;0;0;0;3295;61774;141424;56,7;363703;18;50;352;3678;27542;78374;111119;93305;44332;4783;138;13
gml_3WTM70QVR0YVD7TLLQ8TMVELXXKHOLMTBZQE;;299611,21;56349,87;LOD2;1939;Original;undefined;A0;residential;3859,7;none;0,0;GMH;827,9;4199,3;0,0;4444,1;0,0;846,7;14947,3;false;14119,4;20,1;18,03;6;3,2;HEATED;NOT_HEATED;1,0;0,41;3859,7;1,53;15,8;104,8;465587;108102;86140;55952;10384;23;0;0;0;0;2038;42481;99331;67,5;260394;24;65;394;3367;20441;55918;79214;66233;30873;3702;146;17
gml_9QRML5OZRB6ENDFQCR2MA97SZSMOJZBQ18LC;;299631,56;56422,81;LOD2;1939;Original;undefined;A0;residential;4280,7;none;0,0;GMH;956,2;4362,2;0,0;4621,9;0,0;1009,7;16717,4;false;15761,3;20,3;17,41;6;3,2;HEATED;NOT_HEATED;1,0;0,39;4280,7;1,52;15,8;102,7;507558;117185;93555;61088;11829;30;0;0;0;0;2316;46290;107459;64,0;273817;22;61;378;3225;20756;58797;83967;70154;32483;3815;143;16
gml_PQE76GXTE35RWAKO1BC9WIS3APKR1GIK5TRI;;299695,22;56394,43;LOD2;1939;Original;undefined;A0;residential;4234,0;none;0,0;GMH;923,3;4378,7;0,0;4639,6;0,0;983,5;16153,8;false;15230,5;19,9;17,42;6;3,1;HEATED;NOT_HEATED;1,0;0,41;4234,0;1,52;15,8;102,8;502448;115985;92610;60532;11508;29;0;0;0;0;2288;45863;106568;64,8;274434;23;62;380;3329;21060;58999;83891;70133;32601;3796;144;16
gml_SQXJ9Q1DC9I70N5SXNT7RPS42FV86K81UXMY;;299655,54;56497,30;LOD2;1939;Original;undefined;A0;residential;5380,2;none;0,0;GMH;944,5;4710,7;0,0;4772,4;0,0;998,4;17037,1;false;16813,0;20,5;17,97;7;2,9;HEATED;NOT_HEATED;0,2;0,39;5380,2;1,53;15,8;89,0;564297;127098;101629;66835;12999;42;0;0;0;0;2730;51050;116692;56,1;301954;13;39;281;3032;23051;65109;92091;77371;36909;3939;109;10
gml_9649JP6OS4FKFYWM52X15VOLF0FYB01JC4XJ;;299591,08;56518,26;LOD2;1939;Original;undefined;A0;residential;4311,9;none;0,0;GMH;932,8;4506,1;0,0;4766,3;0,0;985,1;16843,1;false;15910,3;20,3;18,00;6;3,2;HEATED;NOT_HEATED;1,0;0,40;4311,9;1,53;15,8;103,2;513279;118603;94672;61826;11721;29;0;0;0;0;2319;46834;108976;65,2;281282;24;65;396;3447;21634;60446;85928;71839;33416;3919;150;17
gml_8CDGH2DDDSI3IN3QW4K5L3SOD7AT5NML8JRX;;299567,10;56443,66;LOD2;1939;Original;undefined;A0;residential;4226,1;none;0,0;GMH;927,5;4283,6;0,0;4543,5;0,0;981,4;15957,1;false;15029,7;19,7;17,14;6;3,1;HEATED;NOT_HEATED;1,0;0,40;4226,1;1,52;15,8;101,9;497443;114718;91576;59791;11564;30;0;0;0;0;2272;45339;105213;63,6;268823;21;58;366;3152;20418;57731;82366;68846;31965;3746;138;15
gml_8M31DETM2IMQXLOQLTV9J15TKTR01W5UJ618;;299850,57;56497,26;LOD2;1939;Original;undefined;K2;retail;732,9;none;0,0;RH;588,1;491,8;0,0;596,6;34,5;588,1;3107,7;false;2519,6;7,0;3,85;2;3,0;HEATED;NOT_HEATED;1,0;0,57;732,9;1,06;73,0;111,3;135053;21920;17379;11018;2102;13;0;0;0;0;535;8529;20051;97,2;71222;16;37;208;1442;6800;14943;20029;17070;9007;1568;88;13
gml_O5QE50QBI3MPAXMAR1FQQOOPUMCTEKRZS3RP;;299548,37;56370,73;LOD2;1939;Original;undefined;A0;residential;5157,7;none;0,0;GMH;1120,6;5314,4;0,0;5638,2;0,0;1138,7;19432,5;false;18311,9;19,7;17,32;6;3,1;HEATED;NOT_HEATED;1,0;0,41;5157,7;1,53;15,8;102,1;608252;140451;112050;73032;14042;36;0;0;0;0;2738;55382;128824;64,2;331038;27;74;462;3945;25275;71043;101262;84665;39414;4677;174;19
gml_FP3EQ8GU7E8J6UU2C0IWYBKDG5XF0D7ZUA7E;;299465,28;56665,45;LOD2;1939;Original;undefined;K2;retail;457,5;none;0,0;RH;319,6;367,9;0,0;441,0;0,0;319,6;1749,4;false;1429,8;6,9;3,85;2;2,9;HEATED;NOT_HEATED;1,0;0,62;457,5;1,13;73,0;109,2;83373;13535;10666;6668;1224;7;0;0;0;0;298;5168;12403;101,6;46467;12;29;155;1022;4543;9676;12876;11001;5948;1129;67;10
