GMLId;ParentGMLId;X-coordinate;Y-coordinate;LOD;Year of construction;Refurbishment Variant;Class;ALKIS code;PrimaryUsageZoneType;PrimaryUsageZoneArea;SecondaryUsageZoneType;SecondaryUsageZoneArea;BuildingType;Footprint area [m2];Total wall thermal area above ground [m2];Total wall thermal area below ground [m2];Total outwall area [m2];Total sharedwall area [m2];Total roof area [m2];Gross volume [m3];Is Gross volume approximated?;Heated volume [m3];Ridge/mean Height [m];Eaves/mean Height [m];Storey number;Average Storey Height;Attic Heating;Basement Heating;Basement ceiling height above ground;SA2V ratio [m-1];Heated area [m2];Mean Uvalue [W/m2.K];Specific domestic hot water demand [kWh/m2.yr];Specific space heating demand [kWh/m2.yr];Total Yearly Heat+DHW demand [kWh/yr];January Heating Demand [kWh];February Heating Demand [kWh];March Heating Demand [kWh];April Heating Demand [kWh];May Heating Demand [kWh];June Heating Demand [kWh];July Heating Demand [kWh];August Heating Demand [kWh];September Heating Demand [kWh];October Heating Demand [kWh];November Heating Demand [kWh];December Heating Demand [kWh];Specific space Cooling demand [kWh/m2.yr];Yearly Cooling demand [kWh/yr];January Cooling Demand [kWh];February Cooling Demand [kWh];March Cooling Demand [kWh];April Cooling Demand [kWh];May Cooling Demand [kWh];June Cooling Demand [kWh];July Cooling Demand [kWh];August Cooling Demand [kWh];September Cooling Demand [kWh];October Cooling Demand [kWh];November Cooling Demand [kWh];December Cooling Demand [kWh]
gml_0HL2RA0C95L4CSY5BJ7QDGVP7ERQ228Z1COK;;299240,09;56489,12;LOD2;1939;Original;undefined;A0;residential;5758,6;none;0,0;GMH;998,9;4789,7;0,0;4965,6;0,0;1055,4;18667,1;false;17995,7;21,0;18,62;7;2,9;HEATED;NOT_HEATED;0,7;0,38;5758,6;1,53;15,8;87,5;594850;144215;115171;73883;9870;0;0;0;0;0;6206;62041;92248;59,7;343607;2;9;114;3127;34075;68796;108278;87472;40687;1020;22;5
gml_6ZI8BJLBY8JP5ZWV9AR94P17XXOOZUAD980I;;299377,38;56605,24;LOD2;1939;Original;undefined;A0;residential;5877,3;none;0,0;GMH;1002,0;4855,7;0,0;4871,6;0,0;1054,7;18427,5;false;18366,5;20,4;18,34;7;2,9;HEATED;NOT_HEATED;0,1;0,38;5877,3;1,53;15,8;86,8;603033;146026;116637;74558;9940;0;0;0;0;0;6285;62945;93546;59,6;350401;2;9;117;3183;35101;70318;110186;89022;41400;1038;22;5
gml_4OPM074CUTGPWQQ9FCSXM4XS6KWFKQ2I47WV;;299151,76;56676,09;LOD2;1939;Original;undefined;A0;residential;63,7;none;0,0;EFH;72,4;93,7;0,0;119,1;0,0;72,4;252,9;false;199,1;3,5;3,49;1;2,8;NO_ROOM;NOT_HEATED;0,7;1,04;63,7;1,13;15,8;170,6;11880;3157;2552;1643;222;0;0;0;0;0;62;1282;1953;86,6;5520;0;1;4;52;405;1068;1974;1506;497;13;1;0
gml_XVM9OVSDNVV62ZNM0ZF9PPIJTJDY02KZ8SMP;;299311,78;56460,06;LOD2;1939;Original;undefined;A0;residential;6695,3;none;0,0;GMH;1207,2;5672,4;0,0;5810,7;0,0;1225,4;21435,8;false;20922,8;20,7;17,73;7;2,9;HEATED;NOT_HEATED;0,4;0,38;6695,3;1,53;15,8;88,8;700674;170390;136043;87186;11633;0;0;0;0;0;7253;73194;108921;60,5;405196;2;11;142;3747;40093;81109;127810;103190;47840;1217;27;6
gml_GPNX0C79ZX5WQHONUIVPFFNSA8HNVT5LF7V1;;299180,34;56627,07;LOD2;1939;Original;undefined;A0;residential;20354,9;none;0,0;HH;1664,6;14414,0;0,0;14783,8;0,0;1972,2;65273,6;false;63609,0;44,6;38,71;17;2,6;HEATED;NOT_HEATED;1,0;0,28;20354,9;1,55;15,8;67,5;1695876;403884;314790;189542;22551;5;0;0;0;0;16662;168495;257527;64,1;1303783;56;231;2136;30155;156722;257317;373995;309414;161443;11701;483;130
gml_3SHYLQJBJKNZY2ORNMJPWH8EE6TW50MZXNTE;;299410,57;56690,98;LOD2;1939;Original;undefined;A0;residential;10730,9;none;0,0;GMH;1861,1;8709,5;0,0;8755,6;0,0;1970,4;33714,6;false;33534,1;20,4;18,05;7;2,9;HEATED;NOT_HEATED;0,1;0,37;10730,9;1,52;15,8;86,4;1097273;265245;211988;136128;18184;0;0;0;0;0;11608;114335;169807;59,0;633311;3;15;199;5668;63057;126912;199519;161133;74931;1826;39;9
gml_121RXBY8TU12TQMCNK9HK7ILLQT8TYRS70NG;;299474,11;56402,36;LOD2;1939;Original;undefined;A0;residential;5338,9;none;0,0;GMH;934,7;4714,5;0,0;4718,5;0,0;989,3;16698,2;false;16684,0;20,3;17,80;7;2,9;HEATED;NOT_HEATED;0,0;0,40;5338,9;1,53;15,8;90,3;566549;138463;110369;70291;9354;0;0;0;0;0;5688;59320;88497;62,0;330785;2;10;131;3159;32880;66280;104127;84136;38979;1050;24;6
gml_E2FZQK61YG4ZNXJLVZ7EVD5UOI5AJ1EQA90D;;299157,40;56538,57;LOD2;1939;Original;undefined;A0;residential;2355,5;none;0,0;RH;720,6;1788,4;0,0;1788,4;0,0;720,6;7361,1;false;7361,1;10,2;10,21;4;2,6;NO_ROOM;NO_ROOM;0,0;0,44;2355,5;1,27;15,8;85,5;238760;58084;46130;29049;3468;0;0;0;0;0;2369;24983;37366;62,6;147514;1;4;53;1564;15569;29625;45729;37036;17468;454;9;2
gml_AM0JREXSAR3L7RAHQDTKNRMFW0FAW3X9MMUV;;299313,66;56579,93;LOD2;1939;Original;undefined;A0;residential;5882,3;none;0,0;GMH;1023,1;4731,6;0,0;4906,9;0,0;1042,6;19075,8;false;18382,1;21,0;18,56;7;2,9;HEATED;NOT_HEATED;0,7;0,37;5882,3;1,53;15,8;85,9;598528;144562;115584;74082;9729;0;0;0;0;0;6385;62388;92624;59,3;348973;2;8;107;3165;35226;70059;109761;88563;41082;976;20;5
gml_07FDH3LIK3GNIEULQET1A8VAC4RFQRBWJNIJ;;299093,63;56595,69;LOD2;1939;Original;undefined;A0;residential;2295,0;none;0,0;RH;706,9;1767,0;0,0;1767,0;0,0;706,9;7172,0;false;7172,0;10,1;10,15;4;2,5;NO_ROOM;NO_ROOM;0,0;0,44;2295,0;1,27;15,8;86,3;234430;57152;45373;28538;3397;0;0;0;0;0;2311;24554;36752;63,3;145258;1;4;54;1562;15335;29169;45032;36463;17176;452;9;2
