Time,measured heating energy,calculated heating demand,,
2016-01-01T00:00:00.000Z,5487316,4136924,,
2016-02-01T00:00:00.000Z,4569057,3300265,,
2016-03-01T00:00:00.000Z,3783982,2161781,,
2016-04-01T00:00:00.000Z,2168007,416285,,
2016-05-01T00:00:00.000Z,382025,1560,,
2016-06-01T00:00:00.000Z,13,0,,
2016-07-01T00:00:00.000Z,65977,0,,
2016-08-01T00:00:00.000Z,69335,0,,
2016-09-01T00:00:00.000Z,269648,0,,
2016-10-01T00:00:00.000Z,1226608,92616,,
2016-11-01T00:00:00.000Z,2920747,1668384,,
2016-12-01T00:00:00.000Z,4121845,3808227,,
,,,,
